id ,question1,question2,similarity,question1_p,question2_p
0,Chicken,Chicken was too good,0.2345,chicken,chicken good
1,Chicken,Lucknowi chicken was good,0.2345,chicken,lucknowi chicken good
2,Chicken,tandoored chicken was delicious,0.1734,chicken,tandoored chicken delicious
3,Chicken,Chicken was tender,0.1510,chicken,chicken tender
4,Chicken,chicken dish was perfect ..,0.1341,chicken,chicken dish perfect
5,Chicken,chicken was soft,0.1133,chicken,chicken soft
6,Chicken,Chicken Wings were decent,0.1086,chicken,chicken wings decent
7,Chicken,Chicken shawarma was good,0.0952,chicken,chicken shawarma good
8,Chicken,Mamas sauce was yummy,0.0857,chicken,mamas sauce yummy
9,Chicken,cheese balls lacked oomph factor,0.0856,chicken,cheese balls lacked oomph factor
10,Food,Food was excellent,0.3667,food,food excellent
11,Food,food was excellent,0.3667,food,food excellent
12,Food,food are excellent,0.3667,food,food excellent
13,Food,food was good,0.3372,food,food good
14,Food,Food was Good,0.3372,food,food good
15,Food,food was very good,0.3372,food,food good
16,Food,food was good ENDPAD,0.3372,food,food good endpad
17,Food,food was great,0.3267,food,food great
18,Food,Food was really good,0.2700,food,food really good
19,Food,Food was decent,0.2600,food,food decent
20,I like the Pasta,Pasta arabiata was average,0.3238,like pasta,pasta arabiata average
21,I like the Pasta,pasta was average,0.3238,like pasta,pasta average
22,I like the Pasta,Barbeque and Smoked Chicken Pizza were very good,0.2303,like pasta,barbeque smoked chicken pizza good
23,I like the Pasta,cheese balls lacked oomph factor,0.1928,like pasta,cheese balls lacked oomph factor
24,I like the Pasta,Aloo tikki chole are really amazing,0.1861,like pasta,aloo tikki chole really amazing
25,I like the Pasta,tikka chicken was better,0.1814,like pasta,tikka chicken better
26,I like the Pasta,Sev puri looked good,0.1772,like pasta,sev puri looked good
27,I like the Pasta,Pani puri was tasteless,0.1757,like pasta,pani puri tasteless
28,I like the Pasta,Masala lemonade *,0.1672,like pasta,masala lemonade
29,I like the Pasta,ball Masala lemonade Krishs,0.1648,like pasta,ball masala lemonade krishs
30,I liked Pizza,Pizza and sizzler was good.lot,0.4868,liked pizza,pizza sizzler good lot
31,I liked Pizza,pizza was delicious,0.4451,liked pizza,pizza delicious
32,I liked Pizza,pizza was good,0.4236,liked pizza,pizza good
33,I liked Pizza,pizza was quiet healthy,0.4229,liked pizza,pizza quiet healthy
34,I liked Pizza,Pizza was perfect,0.4048,liked pizza,pizza perfect
35,I liked Pizza,pizza was average,0.3965,liked pizza,pizza average
36,I liked Pizza,helpful nuttella pizza was delicious,0.3475,liked pizza,helpful nuttella pizza delicious
37,I liked Pizza,Barbeque and Smoked Chicken Pizza were very good,0.3162,liked pizza,barbeque smoked chicken pizza good
38,I liked Pizza,pizza are ridiculously slow,0.3095,liked pizza,pizza ridiculously slow
39,I liked Pizza,ball Masala lemonade Krishs,0.2661,liked pizza,ball masala lemonade krishs
40,I love the pizza,pizza was delicious,0.6487,love pizza,pizza delicious
41,I love the pizza,helpful nuttella pizza was delicious,0.6095,love pizza,helpful nuttella pizza delicious
42,I love the pizza,Pizza was perfect,0.5634,love pizza,pizza perfect
43,I love the pizza,pizza was average,0.4718,love pizza,pizza average
44,I love the pizza,Pizza and sizzler was good.lot,0.4685,love pizza,pizza sizzler good lot
45,I love the pizza,pizza was good,0.4577,love pizza,pizza good
46,I love the pizza,Barbeque and Smoked Chicken Pizza were very good,0.4394,love pizza,barbeque smoked chicken pizza good
47,I love the pizza,coffee was nice,0.3899,love pizza,coffee nice
48,I love the pizza,pizza was quiet healthy,0.3704,love pizza,pizza quiet healthy
49,I love the pizza,Keema pav was delicious,0.3648,love pizza,keema pav delicious
50,I loved pani puri,pani puri was good,0.1951,loved pani puri,pani puri good
51,I loved pani puri,Pani puri and sev puri are also good,0.1673,loved pani puri,pani puri sev puri also good
52,I loved pani puri,Pani Puri and Tawa Pulao were just average,0.1098,loved pani puri,pani puri tawa pulao average
53,I loved pani puri,idli Wada are very good,0.1085,loved pani puri,idli wada good
54,I loved pani puri,Sev puri looked good,0.1039,loved pani puri,sev puri looked good
55,I loved pani puri,Homemade lichi flavoured lemonade,0.1008,loved pani puri,homemade lichi flavoured lemonade
56,I loved pani puri,Pani puri was tasteless,0.0951,loved pani puri,pani puri tasteless
57,I loved pani puri,ball Masala lemonade Krishs,0.0913,loved pani puri,ball masala lemonade krishs
58,I loved pani puri,Masala lemonade *,0.0829,loved pani puri,masala lemonade
59,I loved pani puri,Other snacks are good,0.0761,loved pani puri,snacks good
60,Keema pav was good,Keema pav was delicious,0.6990,keema pav good,keema pav delicious
61,Keema pav was good,masala pav are special,0.4540,keema pav good,masala pav special
62,Keema pav was good,Paratha was worth,0.4476,keema pav good,paratha worth
63,Keema pav was good,Aloo tikki chole are really amazing,0.4469,keema pav good,aloo tikki chole really amazing
64,Keema pav was good,helpful nuttella pizza was delicious,0.4435,keema pav good,helpful nuttella pizza delicious
65,Keema pav was good,coffee was nice,0.4397,keema pav good,coffee nice
66,Keema pav was good,naan was something,0.4274,keema pav good,naan something
67,Keema pav was good,Cole samosa was good,0.4224,keema pav good,cole samosa good
68,Keema pav was good,samosa was good,0.4104,keema pav good,samosa good
69,Keema pav was good,stir fried veggies were really good,0.4049,keema pav good,stir fried veggies really good
70,Mango juice was good,Orange juice was so fresh ......,0.1382,mango juice good,orange juice fresh
71,Mango juice was good,pani puri was good,0.1010,mango juice good,pani puri good
72,Mango juice was good,gulab jamun are too good,0.0937,mango juice good,gulab jamun good
73,Mango juice was good,idli Wada are very good,0.0865,mango juice good,idli wada good
74,Mango juice was good,Pani puri and sev puri are also good,0.0817,mango juice good,pani puri sev puri also good
75,Mango juice was good,Homemade lichi flavoured lemonade,0.0783,mango juice good,homemade lichi flavoured lemonade
76,Mango juice was good,Oreo shake was good,0.0765,mango juice good,oreo shake good
77,Mango juice was good,Masala lemonade *,0.0732,mango juice good,masala lemonade
78,Mango juice was good,parathas and beer lassi remain fair,0.0727,mango juice good,parathas beer lassi remain fair
79,Mango juice was good,Vada pav and malai kulfi were also good,0.0723,mango juice good,vada pav malai kulfi also good
80,Misal was worth it,misal recommended dishes,0.4372,misal worth,misal recommended dishes
81,Misal was worth it,sauce was penty ..,0.3915,misal worth,sauce penty
82,Misal was worth it,food was nice,0.3875,misal worth,food nice
83,Misal was worth it,Food was nice,0.3875,misal worth,food nice
84,Misal was worth it,food was very nice,0.3875,misal worth,food nice
85,Misal was worth it,Pani puris are absolutely amazing,0.3849,misal worth,pani puris absolutely amazing
86,Misal was worth it,breakfast was bad,0.3768,misal worth,breakfast bad
